Trade,Origin region,Destination region,Origin country,district,req ETD wk ,Cust. Code,Carrier (Std),Contract #,BR:1st Vessel,BR:1st Voyage #,Bkg Party # ,TMS #,Booking Status,Exception?,BR:PRE,BR:POL,BR:POD,BR:DEL,Move Type,BR:Req. ETD,BC:ETD POL,BR:Eqp.,BR:Eqp. Cnt,BC:Eqp.,BC:Eqp. Cnt,BC:Release Date,BC:Version,BR:Req. FEU,BC:Conf. FEU,BC: CY Cut-off Date,BC: CY Cut-off Time,BC: VGM Cut-off Date,BC: VGM Cut-off Time,BC: SI Cut-off Date,BC: SI Cut-off Time,BC:1st ETD POL,BC:1st ETA POD,BC:1st Release Date,BC:Released,BR:2nd Vessel,BR:2nd Voyage #,Consignee,Region,Bkg Type,Shipper Bkg Linked?,CRD,Date between BR creattion / ETD req,Check,x4,x5,x6,x7,x8,x9
AP > NA,AP,NA,CN,CN E.,27,DEC,EGLV,SC50089,,,148300176696,185329512,Confirmed,Y,CNFOC,CNFOC,USLAX,USLAX,CYP/CYP,06-Jul,13-Jul,40HCx1,1,40HCx1,1,06-Jul,2,1.125,1.125,,,,,,,06-Jul,31-Jul,28-Jun,Yes,,,Decathlon,Xiamen,Bkg Agnt,Yes,,,-8,,,,,,
AP > NA,AP,NA,CN,CN S.,28,NIK,MSCU,25-970GA,MAERSK EDINBURGH,326N,181AY0232707763P1,185217017,Confirmed,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,07-Jul,07-Jul,40HCx1,1,40HCx1,1,26-Jun,1,1.125,1.125,,,,,,,07-Jul,,26-Jun,Yes,,,Nike,S.China,Direct,Yes,,,0,,,,,,
AP > NA,AP,NA,CN,CN S.,28,NIK,MSCU,25-970GA,MAERSK EDINBURGH,326N,181AY0232707765P1,185217128,Confirmed,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,07-Jul,07-Jul,40HCx1,1,40HCx1,1,26-Jun,1,1.125,1.125,,,,,,,07-Jul,,26-Jun,Yes,,,Nike,S.China,Direct,Yes,,,0,,,,,,
AP > NA,AP,NA,VN,VN S.,28,WAL,MSCU,25-970GA,MAERSK CHARLESTON,327N,339IN2322727,185241525,Confirmed,N,VNVUT,VNVUT,USTPA,USTPA,CYP/CYP,07-Jul,07-Jul,40HCx1,1,40HCx1,1,27-Jun,1,1.125,1.125,,,,,,,07-Jul,,27-Jun,Yes,,,Walmart,Vietnam,Direct,Yes,,,0,,,,,,
AP > NA,AP,NA,CN,CN E.,28,BBY,OOLU,PE2508,COSCO BELGIUM,064E,TBD,185328738,Canceled by requestor,N,CNNKG,CNNKG,USLGB,USLGB,CYP/CYP,07-Jul,,40HCx10,10,,,,,11.25,,,,,,,,,,,No,,,Best Buy,Shanghai,Bkg Agnt,No,,,0,,,,,,
AP > NA,AP,NA,CN,CN E.,28,HOD,MAEU,90-0090,MSC ISTANBUL,327N,291939826,185362419,Confirmed,N,CNNKG,CNNKG,USLGB,USLGB,CYP/CYP,07-Jul,08-Jul,40HCx2,2,40HCx2,2,30-Jun,1,2.25,2.25,,,,,,,08-Jul,29-Jul,30-Jun,Yes,,,Home Depot,Shanghai,Bkg Agnt,Yes,,,0,,,,,,
AP > NA,AP,NA,CN,CN S.,28,HOD,MSCU,25-001WW,MAERSK EDINBURGH,326N,181AY0232710927P1,185370983,Canceled by carrier,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,07-Jul,,40HCx1,1,,,,,1.125,,,,,,,,,,,Yes,,,Home Depot,S.China,Direct,No,,,0,,,,,,
AP > NA,AP,NA,CN,CN S.,28,WAL,MSCU,25-001WW,MAERSK EDINBURGH,326N,181AY0232710943P1,185371020,Confirmed,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,07-Jul,07-Jul,40HCx1,1,40HCx1,1,28-Jun,1,1.125,1.125,,,,,,,07-Jul,,28-Jun,Yes,,,Walmart,S.China,Direct,No,,,0,,,,,,
AP > NA,AP,NA,CN,CN S.,28,DEC,MSCU,25-001WW,MAERSK EDINBURGH,326N,181AY0232710944P1,185371022,Canceled by carrier,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,07-Jul,,40HCx1,1,,,,,1.125,,,,,,,,,,,Yes,,,Decathlon,S.China,Direct,No,,,0,,,,,,
AP > NA,AP,NA,CN,CN S.,28,TRI,MAEU,90-0090,MAERSK EDINBURGH,326N,228778204,185371190,Confirmed,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,07-Jul,07-Jul,40GPx1,1,40GPx1,1,29-Jun,4,1,1,,,,,,,07-Jul,24-Jul,28-Jun,Yes,,,Triumph,S.China,Direct,Yes,,,-1,,,,,,
AP > NA,AP,NA,CN,CN S.,28,TRI,MAEU,90-0090,MSC RIFAYA,329N,228778257,185371208,Canceled by carrier,N,CNYTN,CNYTN,USLGB,USLGB,CYP/CYP,07-Jul,,45HCx1,1,,,,,1.265,,,,,,,,,,,Yes,,,Triumph,S.China,Direct,No,,,0,,,,,,
AP > NA,AP,NA,CN,CN E.,28,NIK,OOLU,PE2508,COSCO BELGIUM,064E,OOLU2141567790,185377956,Confirmed,N,CNNKG,CNNKG,USLGB,USLGB,CYP/CYP,07-Jul,07-Jul,40HCx9,9,40HCx9,9,07-Jul,2,10.125,10.125,,,,,,,07-Jul,31-Jul,30-Jun,Yes,,,Nike,Shanghai,Bkg Agnt,Yes,,,-7,,,,,,
AP > NA,AP,NA,CN,CN S.,28,WAL,MAEU,90-0090,MAERSK EDINBURGH,326N,228789138,185387458,Confirmed,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,07-Jul,07-Jul,40HCx1,1,40HCx1,1,29-Jun,3,1.125,1.125,,,,,,,07-Jul,24-Jul,28-Jun,Yes,,,Walmart,S.China,Direct,Yes,,,-1,,,,,,
AP > NA,AP,NA,CN,CN S.,28,TES,MAEU,90-0090,MAERSK EDINBURGH,326N,228789151,185387557,Confirmed,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,07-Jul,07-Jul,40HCx1,1,40HCx1,1,29-Jun,2,1.125,1.125,,,,,,,07-Jul,24-Jul,28-Jun,Yes,,,Tesla,S.China,Direct,Yes,,,-1,,,,,,
AP > NA,AP,NA,VN,VN S.,28,TGT,OOLU,PE2508,COSCO NETHERLANDS,058E,2141593890,185442556,Confirmed,N,VNSGN,VNTOT,USLGB,USLGB,CYP/CYP,07-Jul,07-Jul,40HCx1,1,40HCx1,1,30-Jun,1,1.125,1.125,,,,,,,07-Jul,28-Jul,30-Jun,Yes,,,Target,Vietnam,Direct,Yes,,,0,,,,,,
AP > NA,AP,NA,VN,VN S.,28,BBY,MSCU,25-970GA,Maersk Charleston,327N,339IN2323283,185443286,Confirmed,N,VNSGN,VNVUT,USLAX,USLAX,CYP/CYP,07-Jul,07-Jul,40HCx2,2,40HCx2,2,29-Jun,1,2.25,2.25,,,,,,,07-Jul,,29-Jun,Yes,,,Best Buy,Vietnam,Direct,Yes,,,0,,,,,,
AP > NA,AP,NA,CN,CN S.,28,HOD,MAEU,90-0090,MAERSK EDINBURGH,326N,228878263,185546523,Confirmed,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,07-Jul,07-Jul,40HCx1,1,40HCx1,1,01-Jul,1,1.125,1.125,,,,,,,07-Jul,24-Jul,01-Jul,Yes,,,Home Depot,S.China,Direct,No,,,0,,,,,,
AP > NA,AP,NA,CN,CN S.,28,COS,MAEU,90-0090,MAERSK EDINBURGH,326N,228881776,185557029,Canceled by carrier,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,07-Jul,,40HCx1,1,,,,,1.125,,,,,,,,,,,Yes,,,Costco,S.China,Direct,No,,,0,,,,,,
AP > NA,AP,NA,CN,CN S.,28,COS,MAEU,90-0090,MAERSK EDINBURGH,326N,228881774,185557030,Canceled by carrier,N,CNYTN,CNYTN,USLAX,USLAX,CYP/CYP,07-Jul,,40GPx1,1,,,,,1,,,,,,,,,,,Yes,,,Costco,S.China,Direct,No,,,0,,,,,,
